"","customer_id","revenue","most_recent_visit","number_of_orders","recency_days"
"197",26036,969,2006-09-21,9,102
"198",27266,1359,2006-06-04,12,211
"199",33933,717,2006-06-12,9,203
"200",15808,143,2005-04-05,2,636
"201",24956,1356,2006-10-26,13,67
"202",37891,1248,2006-06-22,11,193
"203",14730,658,2006-07-19,7,166
"204",15596,775,2006-12-03,11,29
"205",22757,861,2006-02-09,9,326
"206",12960,461,2006-10-13,6,80
"207",17190,1287,2006-05-17,13,229
"208",7393,527,2006-05-02,7,244
"209",27507,1259,2006-10-25,13,68
"210",38046,912,2006-06-14,10,201
"211",28789,1508,2006-10-10,13,83
"212",33551,807,2005-10-11,9,447
"213",21616,995,2006-10-06,16,87
"214",38869,1436,2006-07-08,13,177
"215",7757,1095,2006-09-28,11,95
"216",20083,1128,2006-10-06,14,87
"217",4697,224,2005-11-29,3,398
"218",19776,1073,2006-09-02,13,121
"219",16705,1439,2006-07-12,16,173
"220",22004,1454,2006-01-12,11,354
"221",10972,1071,2006-09-26,10,97
"222",5936,1118,2006-07-11,11,174
"223",2521,1262,2006-08-30,10,124
"224",31716,1314,2006-06-28,10,187
"225",22410,492,2006-09-09,5,114
"226",37614,1372,2006-08-19,14,135
"227",177,457,2006-01-09,7,357
"228",31226,118,2005-08-07,3,512
"229",396,626,2006-08-03,8,151
"230",10584,1209,2006-06-14,10,201
"231",24522,578,2006-12-07,8,25
"232",20085,886,2006-10-22,12,71
"233",18122,559,2005-09-17,5,471
"234",10914,844,2006-08-22,7,132
"235",31578,1703,2006-02-08,17,327
"236",1658,933,2006-10-03,9,90
"237",31570,769,2006-07-16,9,169
"238",32149,657,2006-10-08,6,85
"239",11336,202,2005-10-21,3,437
"240",3356,932,2006-10-14,9,79
"241",34920,763,2006-11-15,10,47
"242",867,732,2006-07-02,9,183
"243",37814,851,2006-06-30,11,185
"244",33666,1043,2006-09-29,13,94
"245",39210,142,2005-08-14,4,505
"246",21650,635,2006-10-31,13,62
"247",38760,748,2006-12-03,9,29
"248",32778,799,2006-06-11,8,204
"249",29092,1267,2006-04-03,15,273
"250",23007,321,2005-08-20,3,499
"251",26203,1116,2006-11-10,10,52
"252",10910,781,2005-10-14,7,444
"253",27285,790,2006-11-29,8,33
"254",37197,1400,2006-08-24,14,130
"255",29609,1025,2006-07-07,12,178
"256",32621,1244,2006-11-09,12,53
"257",18086,1058,2006-09-25,10,98
"258",8824,917,2006-09-24,8,99
"259",17480,1238,2006-06-21,14,194
"260",30005,1405,2006-05-07,13,239
"261",4344,1621,2006-11-01,16,61
"262",17635,582,2006-09-11,10,112
"263",35716,105,2006-10-21,3,72
"264",27183,988,2006-04-24,9,252
"265",12801,1290,2006-08-14,9,140
"266",28732,1021,2006-07-01,10,184
"267",15920,429,2006-07-05,8,180
"268",9119,1716,2006-10-22,16,71
"269",6605,729,2006-12-19,8,13
"270",10472,862,2006-12-05,9,27
"271",18230,924,2006-08-14,10,140
"272",26963,575,2005-12-02,5,395
"273",12108,802,2006-10-14,7,79
"274",21571,1592,2006-11-24,18,38
"275",7052,1223,2006-04-20,14,256
"276",6833,1146,2005-11-28,9,399
"277",15509,1136,2006-09-01,8,122
"278",23492,763,2006-11-27,7,35
"279",20862,712,2005-10-12,7,446
"280",896,560,2006-05-31,8,215
"281",6608,1126,2006-06-10,13,205
"282",32000,312,2005-11-15,4,412
"283",27750,885,2006-04-23,10,253
"284",7581,896,2006-11-06,10,56
"285",352,1095,2006-07-08,10,177
"286",3205,955,2005-10-02,10,456
"287",22309,1153,2006-12-04,9,28
"288",28729,648,2006-10-12,9,81
"289",22337,475,2006-07-25,7,160
"290",18312,358,2006-07-01,6,184
"291",9897,1022,2006-03-27,9,280
"292",30142,590,2006-10-11,10,82
"293",39015,802,2006-09-24,6,99
"294",5687,965,2006-05-05,11,241
"295",28713,82,2006-02-08,3,327
"296",23489,415,2006-07-18,6,167
"297",27345,507,2006-06-21,6,194
"298",32784,1011,2006-03-18,8,289
"299",23606,1140,2005-09-11,12,477
"300",23057,613,2006-04-16,7,260
"301",17232,1246,2006-10-01,12,92
"302",29494,1126,2006-11-17,14,45
"303",3990,888,2006-09-27,13,96
"304",11831,1523,2006-10-09,16,84
"305",33207,1132,2006-10-02,12,91
"306",2703,1325,2006-07-19,13,166
"307",3885,1325,2006-11-17,14,45
"308",6895,838,2006-10-19,9,74
"309",32528,703,2006-11-23,10,39
"310",23371,626,2006-07-29,5,156
"311",13834,545,2006-11-05,6,57
"312",18862,814,2006-09-25,9,98
"313",4280,692,2006-12-03,7,29
"314",14990,1948,2006-10-29,20,64
"315",4772,1450,2006-08-05,13,149
"316",3730,590,2006-08-14,7,140
"317",3059,791,2006-06-13,10,202
"318",39158,931,2006-08-18,10,136
"319",13426,847,2005-11-15,9,412
"320",15680,1556,2006-09-26,14,97
"321",8501,848,2006-11-04,12,58
"322",4919,684,2005-07-03,6,547
"323",11689,783,2005-12-06,7,391
"324",12915,403,2006-05-22,5,224
"325",33635,1196,2006-04-25,12,251
"326",28335,932,2006-09-04,11,119
"327",17202,918,2006-07-13,12,172
"328",21879,775,2006-10-24,11,69
"329",17654,678,2006-09-06,8,117
"330",39733,1025,2006-02-04,8,331
"331",31994,555,2006-05-27,6,219
"332",2573,783,2006-11-06,10,56
"333",36068,709,2005-12-10,7,387
"334",39830,984,2006-02-11,11,324
"335",34275,1121,2006-07-11,9,174
"336",36102,1360,2006-09-10,15,113
"337",22653,809,2006-05-08,8,238
"338",22859,1324,2006-08-04,15,150
"339",31706,639,2006-07-01,7,184
"340",2330,602,2005-10-01,10,457
"341",28552,2162,2006-10-05,18,88
"342",1750,1444,2006-09-25,14,98
"343",19939,808,2005-10-14,10,444
"344",13570,1348,2006-11-01,10,61
"345",37471,1553,2006-09-24,16,99
"346",10485,776,2005-10-07,8,451
"347",29129,1045,2006-11-04,8,58
"348",35712,1125,2006-09-28,8,95
"349",37999,1018,2006-03-04,9,303
"350",21922,1848,2006-07-12,16,173
"351",35380,260,2006-09-15,6,108
"352",34779,632,2005-09-02,7,486
"353",10478,850,2006-08-29,8,125
"354",21975,1041,2006-04-16,10,260
"355",24305,899,2006-08-28,9,126
"356",7538,2092,2006-09-16,19,107
"357",28875,884,2005-07-12,9,538
"358",29590,1576,2006-06-30,15,185
"359",38922,413,2006-07-12,6,173
"360",14148,1462,2006-07-29,14,156
"361",906,1771,2006-08-26,17,128
"362",14094,682,2005-12-31,8,366
"363",11713,465,2006-07-27,6,158
"364",1058,874,2006-09-17,7,106
"365",27141,1207,2006-03-05,16,302
"366",24053,932,2005-07-22,8,528
"367",8688,492,2006-08-25,7,129
"368",7257,648,2005-07-25,7,525
"369",7011,1351,2006-05-06,14,240
"370",35207,910,2006-10-25,10,68
"371",2926,1051,2006-10-11,8,82
"372",32611,947,2005-11-25,7,402
"373",20581,871,2006-12-09,10,23
"374",13652,1119,2006-11-13,11,49
"375",36595,810,2006-08-16,8,138
"376",20128,367,2006-07-06,7,179
"377",38148,901,2006-09-23,13,100
"378",35137,1031,2006-07-26,13,159
"379",11144,1229,2006-12-04,11,28
"380",11074,1674,2006-06-29,16,186
"381",10413,933,2006-08-30,11,124
"382",6265,642,2005-10-23,9,435
"383",12538,593,2006-11-04,6,58
"384",12793,577,2006-08-24,9,130
"385",13002,953,2006-08-22,11,132
"386",35374,641,2006-07-20,11,165
"387",11851,1006,2005-10-20,9,438
"388",11542,1062,2006-06-13,11,202
"389",6290,570,2006-06-27,7,188
"390",36237,616,2006-08-14,7,140
"391",16359,783,2006-06-25,9,190
"392",3164,1248,2006-11-22,11,40
"393",32548,1070,2006-06-02,10,213
"394",33908,1595,2006-07-07,14,178
"395",26463,752,2006-07-01,7,184
"396",15036,1575,2006-05-22,14,224
"397",12365,653,2006-07-22,7,163
"398",28054,596,2006-12-11,7,21
"399",27742,1215,2006-08-04,12,150
"400",21408,954,2005-09-02,9,486
"401",23244,1240,2006-08-03,14,151
"402",7412,335,2006-08-31,5,123
"403",31374,912,2006-09-02,9,121
"404",31042,1006,2006-12-18,12,14
"405",37767,1804,2006-08-11,20,143
"406",240,1040,2006-07-13,10,172
"407",2112,2019,2006-12-20,14,12
"408",24560,1223,2006-08-12,11,142
"409",34438,1266,2006-11-16,12,46
"410",26095,682,2006-10-07,6,86
"411",20191,957,2006-08-02,10,152
"412",33075,570,2006-11-26,8,36
"413",23903,922,2006-08-09,10,145
"414",2021,1384,2006-09-13,14,110
"415",11941,676,2006-07-04,9,181
"416",56,970,2005-09-02,9,486
"417",26674,918,2006-09-24,10,99
"418",36063,963,2006-08-28,9,126
"419",29915,934,2006-08-28,9,126
"420",24798,775,2006-06-24,10,191
"421",1712,772,2005-12-21,11,376
"422",15577,524,2005-08-03,6,516
"423",2147,1103,2006-11-03,14,59
"424",31134,1306,2006-03-10,15,297
"425",5502,521,2006-08-10,7,144
"426",21798,882,2006-12-11,10,21
"427",32547,957,2006-07-17,9,168
"428",25790,1117,2006-12-29,14,3
"429",19619,1250,2006-08-29,13,125
"430",4382,854,2006-09-06,9,117
"431",9782,602,2006-04-16,7,260
"432",5867,959,2006-09-26,8,97
"433",13014,1536,2006-08-13,15,141
"434",26768,365,2006-07-27,5,158
"435",952,609,2005-12-02,7,395
"436",35610,1031,2006-07-03,10,182
"437",21150,930,2006-06-20,10,195
"438",11494,203,2005-09-19,4,469
"439",19151,869,2006-07-22,8,163
"440",21779,800,2006-04-25,8,251
"441",34471,1083,2006-07-30,11,155
"442",9231,1302,2006-06-02,11,213
"443",30564,395,2005-06-28,7,552
"444",14374,1137,2006-06-12,12,203
"445",29133,951,2006-08-06,9,148
"446",8799,1129,2006-06-09,12,206
"447",10194,729,2005-11-23,9,404
"448",3504,516,2006-11-09,7,53
"449",3654,1059,2006-05-31,11,215
"450",7993,735,2006-11-05,11,57
"451",11740,1105,2005-11-26,12,401
"452",7825,550,2006-06-13,8,202
"453",24561,1357,2006-09-15,12,108
"454",14309,1380,2006-11-25,13,37
"455",7314,688,2006-09-25,8,98
"456",38962,1824,2006-07-03,17,182
"457",17591,251,2004-06-16,2,929
"458",39129,1398,2006-07-25,14,160
"459",16207,993,2006-07-28,10,157
"460",35470,1140,2006-07-03,12,182
"461",36619,304,2006-04-30,4,246
"462",6508,576,2006-09-05,8,118
"463",28446,1022,2006-08-30,14,124
"464",17396,1089,2005-08-09,10,510
"465",14881,499,2006-08-20,6,134
"466",30369,862,2006-12-08,7,24
"467",24900,974,2006-12-15,10,17
"468",7880,668,2006-07-15,5,170
"469",17889,845,2006-01-07,10,359
"470",1190,1125,2006-05-26,13,220
"471",30010,1091,2006-08-02,12,152
"472",36840,939,2006-10-05,11,88
"473",36135,1241,2006-12-10,13,22
"474",38837,1186,2006-05-17,12,229
"475",34063,440,2006-08-11,5,143
"476",21722,1068,2006-08-16,10,138
"477",37906,1424,2006-05-08,14,238
"478",29322,935,2005-08-28,7,491
"479",16814,697,2006-11-21,10,41
"480",21323,1022,2006-11-23,10,39
"481",37708,845,2006-11-06,9,56
"482",5005,424,2005-12-17,4,380
"483",35133,1032,2006-07-03,10,182
"484",5712,1413,2006-07-14,10,171
"485",37996,663,2006-11-28,8,34
"486",22884,885,2006-07-09,10,176
"487",16320,1109,2005-11-24,11,403
"488",28100,996,2006-11-11,10,51
"489",32456,579,2006-09-24,9,99
"490",9984,978,2006-10-08,12,85
"491",8898,1025,2006-07-30,10,155
"492",20672,955,2006-07-31,9,154
"493",6956,756,2006-09-19,6,104
"494",4064,693,2006-07-16,8,169
"495",31199,977,2006-08-22,11,132
"496",9706,1018,2006-08-31,12,123
"497",32816,1182,2006-12-03,14,29
"498",6008,819,2006-04-22,7,254
"499",39585,549,2006-07-08,6,177
"500",20698,1566,2006-10-19,17,74
"501",37738,617,2006-10-08,8,85
"502",31321,789,2006-08-27,6,127
"503",38394,598,2005-11-04,7,423
"504",14580,994,2006-10-27,10,66
"505",34768,1035,2006-05-07,9,239
"506",27245,850,2006-09-27,10,96
"507",21420,1191,2006-11-15,9,47
"508",4843,933,2006-10-13,7,80
"509",37659,776,2006-07-01,11,184
"510",37026,1637,2006-08-06,15,148
"511",7226,1004,2006-09-05,10,118
"512",32408,1350,2006-09-27,11,96
"513",5212,910,2006-02-25,8,310
"514",27846,1019,2006-07-11,9,174
"515",30574,1012,2006-03-11,8,296
"516",35,709,2006-11-28,9,34
"517",7188,697,2006-06-17,6,198
"518",2451,768,2006-09-01,12,122
"519",39480,713,2005-07-03,5,547
"520",12665,431,2006-07-25,9,160
"521",13294,514,2006-11-13,7,49
"522",15959,609,2006-02-07,7,328
"523",32371,1285,2006-10-01,15,92
"524",6361,621,2006-03-23,10,284
"525",38781,952,2006-06-12,10,203
"526",7235,995,2005-07-22,10,528
"527",26078,280,2006-08-09,3,145
"528",6065,1179,2006-10-15,13,78
"529",37484,1573,2006-08-24,14,130
"530",18565,1089,2006-10-08,12,85
"531",30849,578,2006-02-10,9,325
"532",37104,908,2005-11-22,10,405
"533",32331,1832,2006-07-24,15,161
"534",14079,660,2006-09-27,8,96
"535",18328,1636,2006-11-21,12,41
"536",11271,774,2006-11-03,8,59
"537",39956,996,2006-09-15,11,108
"538",12407,653,2006-05-17,9,229
"539",30012,655,2006-10-17,9,76
"540",17824,715,2006-10-19,10,74
"541",50,1430,2006-11-11,13,51
"542",1728,1084,2006-08-09,7,145
"543",7486,1051,2006-10-15,10,78
"544",1955,391,2006-03-02,5,305
"545",490,827,2006-08-24,11,130
"546",27447,827,2006-11-29,11,33
"547",27119,132,2005-08-26,4,493
"548",25633,760,2006-08-30,8,124
"549",8731,282,2006-08-01,6,153
"550",2101,800,2006-05-13,11,233
"551",30445,1123,2006-10-02,10,91
"552",7072,681,2005-12-17,8,380
"553",14513,1107,2006-07-20,13,165
"554",19191,801,2006-09-30,7,93
"555",16217,1398,2006-05-02,13,244
"556",1206,790,2006-09-22,8,101
"557",13996,822,2006-04-11,10,265
"558",33286,1184,2006-09-09,11,114
"559",27888,772,2006-09-26,9,97
"560",1240,1161,2006-06-29,8,186
"561",6973,520,2006-05-09,5,237
"562",21033,877,2006-10-15,13,78
"563",30787,391,2006-08-16,5,138
"564",2502,1477,2006-12-13,13,19
"565",39049,371,2005-08-06,5,513
"566",39521,542,2006-05-25,6,221
"567",5891,910,2006-07-18,13,167
"568",38876,1197,2006-10-09,14,84
"569",101,1284,2006-08-24,16,130
"570",16826,656,2006-10-20,7,73
"571",6946,607,2005-06-25,7,555
"572",19857,493,2006-01-11,8,355
"573",33302,1308,2006-03-03,14,304
"574",9672,559,2006-07-15,6,170
"575",24939,1211,2006-12-21,13,11
"576",35757,1322,2006-06-05,13,210
"577",13691,539,2006-11-06,8,56
"578",4822,634,2006-03-08,8,299
"579",13788,1212,2006-09-25,11,98
"580",1683,1009,2006-07-29,11,156
"581",9098,559,2006-04-27,7,249
"582",14477,917,2006-08-10,11,144
"583",20802,1627,2006-12-27,14,5
"584",27731,1523,2006-04-23,14,253
"585",23442,685,2006-08-30,12,124
"586",30913,753,2006-07-30,9,155
"587",26728,503,2006-01-05,7,361
"588",28225,728,2005-11-08,5,419
"589",32603,740,2006-09-01,7,122
"590",30035,774,2006-10-04,8,89
"591",16270,632,2006-09-18,7,105
"592",29715,791,2006-07-20,11,165
"593",2649,700,2006-03-03,9,304
"594",38104,250,2006-05-01,7,245
"595",31971,1348,2006-09-17,15,106
"596",25963,890,2006-06-05,11,210
"597",13309,1038,2005-12-25,8,372
"598",31359,2004,2006-06-17,19,198
"599",32684,1188,2006-08-01,16,153
"600",39834,484,2006-12-29,9,3
"601",13905,1458,2006-12-11,13,21
"602",5968,294,2005-10-10,5,448
"603",16339,1315,2006-06-20,14,195
"604",369,1430,2006-05-10,14,236
"605",165,963,2005-12-26,10,371
"606",36220,1399,2006-02-02,15,333
"607",28247,607,2006-10-15,8,78
"608",1228,556,2006-11-27,6,35
"609",22797,1321,2006-10-16,13,77
"610",16743,1347,2006-09-14,12,109
"611",6793,863,2006-05-05,10,241
"612",22614,175,2006-02-16,4,319
"613",7749,1093,2006-02-23,10,312
"614",591,931,2005-07-30,9,520
"615",13204,798,2006-02-25,10,310
"616",18161,1081,2006-10-13,10,80
"617",18215,1045,2006-05-24,10,222
"618",25124,1013,2006-08-15,10,139
"619",32910,824,2006-05-11,8,235
"620",16871,842,2006-10-29,10,64
"621",11371,445,2005-09-06,6,482
"622",14018,540,2006-12-22,6,10
"623",26657,980,2006-10-25,12,68
"624",13418,1495,2006-05-16,13,230
"625",23028,361,2006-08-27,7,127
"626",17266,939,2006-10-24,7,69
"627",15647,464,2006-08-31,9,123
"628",34156,1069,2006-09-30,13,93
"629",6291,634,2006-01-16,6,350
"630",17157,662,2006-06-26,8,189
"631",25137,1380,2006-11-27,11,35
"632",25911,429,2006-04-18,8,258
"633",1306,848,2005-12-14,11,383
"634",11568,1088,2006-08-25,8,129
"635",24129,1125,2006-07-20,10,165
"636",34387,1166,2006-06-04,10,211
"637",12536,789,2006-05-27,8,219
"638",18315,849,2006-04-04,6,272
"639",8607,851,2006-10-05,10,88
"640",24144,817,2006-02-05,7,330
"641",3746,1402,2006-12-24,16,8
"642",33109,486,2006-08-11,9,143
"643",35933,643,2006-07-16,7,169
"644",7583,1290,2006-06-19,14,196
"645",37113,661,2005-08-20,10,499
"646",37453,1016,2006-07-12,12,173
"647",31946,1152,2005-07-18,10,532
"648",13307,548,2006-01-26,7,340
"649",30995,872,2006-08-21,9,133
"650",25669,652,2006-05-09,10,237
"651",29323,729,2006-10-03,7,90
"652",18379,1073,2006-09-08,15,115
"653",31969,659,2006-09-15,9,108
"654",25289,1027,2006-11-15,8,47
"655",19801,1542,2006-10-23,17,70
"656",37442,596,2006-08-22,6,132
"657",22232,655,2006-07-16,5,169
"658",25577,749,2005-10-28,8,430
"659",17018,354,2006-08-07,8,147
"660",34657,939,2006-09-21,9,102
"661",8105,1196,2006-08-02,13,152
"662",16924,849,2006-01-04,5,362
"663",18821,1173,2006-06-30,14,185
"664",36568,796,2006-07-22,10,163
"665",39780,558,2006-11-08,6,54
"666",18412,563,2006-04-11,5,265
"667",19055,620,2006-10-08,7,85
"668",35973,500,2005-10-04,5,454
"669",38162,1443,2006-03-05,13,302
"670",33921,1512,2006-12-11,13,21
"671",39403,1493,2006-09-19,14,104
"672",19596,1070,2006-10-28,12,65
"673",33864,1765,2006-11-12,13,50
"674",34224,941,2006-05-22,12,224
"675",33110,1332,2006-07-10,16,175
"676",27759,497,2005-09-12,6,476
"677",32907,903,2006-07-24,10,161
"678",26179,953,2005-11-19,8,408
"679",3451,260,2005-06-30,3,550
"680",4987,1536,2005-09-28,12,460
"681",11700,935,2006-03-12,10,295
"682",24653,822,2006-07-01,10,184
"683",15904,960,2006-08-22,8,132
"684",12591,311,2006-06-12,5,203
"685",2698,988,2006-06-09,12,206
"686",12279,660,2006-08-08,8,146
"687",12637,1215,2006-09-22,11,101
"688",15615,1381,2006-07-20,13,165
"689",1704,1274,2006-12-03,11,29
"690",18290,1242,2006-10-08,12,85
"691",31765,426,2006-11-13,6,49
"692",20450,1488,2006-11-16,14,46
"693",20833,994,2006-07-12,10,173
"694",31587,855,2006-11-28,9,34
"695",18697,1344,2006-07-12,13,173
"696",3538,396,2006-02-03,4,332
"697",9104,766,2006-02-23,11,312
"698",17767,1111,2006-12-24,13,8
"699",20426,1039,2006-12-09,12,23
"700",30238,862,2006-08-29,9,125
"701",35081,1217,2006-08-26,10,128
"702",23385,1012,2006-07-14,12,171
"703",10393,792,2006-09-02,10,121
"704",4731,805,2006-01-03,9,363
"705",9686,880,2006-06-16,9,199
"706",17327,923,2006-08-06,9,148
"707",9842,1238,2006-08-13,10,141
"708",38285,1270,2006-12-24,15,8
"709",29082,902,2006-08-18,9,136
"710",72,1800,2006-07-24,16,161
"711",22474,1504,2006-11-26,17,36
"712",18378,1132,2006-12-22,12,10
"713",23724,950,2006-09-15,8,108
"714",5696,1222,2006-05-12,13,234
"715",22205,1035,2006-09-25,11,98
"716",9563,997,2006-07-26,9,159
"717",26508,1190,2006-08-19,12,135
"718",36933,572,2005-10-17,9,441
"719",10929,256,2005-04-07,3,634
